user_id,movie_id,rating,title
1,195394,7,Принц Персии: Пески времени
1,1219149,6,Шан-Чи и легенда десяти колец
1,41519,8,Брат
1,418794,7,13-й район: Ультиматум
1,328,7,Властелин колец: Братство кольца
1,261513,6,Сахара
1,5621,7,Багровые реки 2: Ангелы апокалипсиса
1,271936,7,Враг государства №1: Легенда
1,467974,4,Поединок
1,468952,6,Кулак легенды: Возвращение Чэнь Чжэня
1,77540,5,Джон Картер
1,730390,4,Цензор
1,4902,6,Ограбление по-французски
1,1280694,4,Пришельцы
1,1676,5,Солдатики
1,681547,4,Вой
1,822709,6,Тор: Рагнарёк
1,41205,5,Хаги — Траггер
1,18543,5,Водная жизнь
1,1412479,5,Карантин
1,5026152,5,Призрачный патруль 2: Восстание проклятых
1,261106,6,Война
1,973670,6,Неизвестный солдат
1,1169291,5,Криминальный город 2
1,4926291,5,Карающая длань
1,3479,6,Звездный путь 7: Поколения
1,21275,5,Без вины виноватый
1,3447,6,Миссия: невыполнима 2
1,3587,5,Отчаянные меры
1,462358,6,Люди Икс: Первый класс
1,5458834,5,"39-я няня, ставшая для нас последней"
1,667733,6,Адский бункер: Восстание спецназа
1,809114,5,Мозг Гиммлера зовется Гейдрихом
1,103572,5,Грайндхаус
2,102251,9,Байкеры 2: Настоящие чувства
2,3537,6,Последний бойскаут
2,570051,7,Ледяной
2,80358,5,Антитела
2,262420,5,Параноид парк
2,22936,8,Не говори никому
2,646,9,Танцующая в темноте
2,839954,7,Легенда
2,4169,6,Англичанин
2,77396,4,Даже не думай 2: Тень независимости
2,762738,6,Джон Уик
2,608706,2,"Джентльмены, удачи!"
2,9599,6,Убить Зои
2,465740,7,Похищенная
2,588,7,Американский психопат
2,972742,5,Девятая
2,1236656,6,Колумнистка
2,521526,7,Жить
2,1239326,5,Этика долга
2,2693,7,Другие 48 часов
2,523122,8,Коломбиана
2,8159,8,Дело о пеликанах
2,313424,6,Окись
2,21105,6,Мамочка-маньячка-убийца
2,4924,7,Убийство в Белом доме
2,596820,7,Пятеро друзей
2,2886,6,Невыносимая жестокость
2,3220,7,Мафия!
2,61370,7,Разборки в стиле кунг-фу
2,195608,5,Макс Пэйн
2,496650,7,Заключенный R
2,23148,9,Забирая жизни
2,103391,7,"Город грехов 2: Женщина, ради которой стоит убивать"
2,461972,8,Самый пьяный округ в мире
2,395678,7,Кража в музее
2,1045391,6,Шутки в сторону 2: Миссия в Майами
2,669032,7,Тереза Ракен
2,6114,8,Гнев
2,1009672,6,Грешное тело
2,6324759,8,Ночной вор
2,464290,4,Два ствола
2,5095615,8,Как взломать экзамен
2,182352,7,Козырные тузы
2,634253,6,Должник
2,397584,6,Информатор!
2,81519,5,Три могилы
2,1103803,6,Смерть на Ниле
2,426001,7,Соломенные псы
2,1311130,7,Продукты 24
2,731079,6,Полицейская история: В осаде
2,570,6,Игрок
2,102142,6,5 неизвестных
2,1437370,8,Дела человеческие
2,195387,7,Измена
3,931677,7,Дюнкерк
3,623250,7,Чёрная Пантера
3,391277,7,Потрошители
3,659981,8,Атака на Пёрл-Харбор
3,6336270,6,Иван Васильевич меняет всё. Режиссёрская версия
3,1318868,6,Человек-муравей и Оса: Квантомания
3,301,8,Матрица
3,765,6,Ничья земля
3,59763,7,Шестиструнный самурай
3,477764,4,Дети шпионов 4D
3,3983,7,Тонкая красная линия
3,692309,8,Halo 4: Идущий к рассвету
3,940351,5,Чудо-ребёнок
3,81291,7,Остров
3,806988,6,Хорошее убийство
3,938513,5,Моя девушка – монстр
3,252036,8,Чистилище
3,690615,6,Кредо убийцы
3,195334,10,Престиж
3,436263,8,Брестская крепость
3,280176,7,"День, когда Земля остановилась"
3,843050,4,Спецотдел WP
4,6022313,4,Чокнутые
4,531670,6,Моя няня – вампир
4,5408142,6,Лгунья
4,428711,9,Отпетые мошенницы
4,1108920,8,Доктор Кто: Дважды во времени
4,5081,7,Муза
4,1385254,7,Кармен
4,25171,6,Двое: Я и моя тень
4,273591,8,Одинокий Санта желает познакомиться с миссис Клаус
4,607288,7,Эффект колибри
4,1083635,7,Тайный враг
4,8155,6,Генеральская дочь
4,1008444,9,Дэдпул и Росомаха
4,4918304,5,Тошнит от себя
4,2899,8,Мошенники
4,711454,9,Континуум
4,1965,7,Время убивать
4,271974,5,Семь кабинок
4,13882,6,Кладбище домашних животных 2
4,4986329,5,Город тайн: Исчезнувшая
